new file 
Gene Symbol	Disease	Ensembl ID	Gene ID	OMIM	GeneCards	HugeNavigator	GenAtlas	YFG	PharmGKB	HGMD	EXPASY	WikiGenes	NCBI	GAD	Gene Name	Gene Symbol Synonyms	Gene name Synonyms	Chromosome	Location	PMIDs	# of Refs	# DB	HuGe Prospector Score	pValues	No Association Number	# of GAD Yes	# of GAD No	Final Score	
CNR1	autism	ENSG00000118432	1268	0	1	1	0	0	0	0	0	0	0	0	cannabinoid receptor 1 (brain)	CANN6|CB-R|CB1|CB1A|CB1K5|CB1R|CNR	OTTHUMP00000016838|OTTHUMP00000016839|OTTHUMP00000016840|cannabinoid receptor 1|central cannabinoid receptor	6	6q14-q15	19598235,19058789,	2	2	0.013		0	0	0	1.7000000000000002	
GABRA2	autism	ENSG00000151834	2555	0	1	1	0	0	0	0	0	0	0	1	"gamma-aminobutyric acid (GABA) A receptor, alpha 2"	FLJ97076	"OTTHUMP00000125269|gamma-aminobutyric acid A receptor, alpha 2"	4	4p12	19736351,16080114,	2	3	0.013		1	0	0	1.7000000000000002	
SLC25A13	autism	ENSG00000004864	10165	0	1	1	0	0	0	0	0	0	0	0	"solute carrier family 25, member 13 (citrin)"	ARALAR2|CITRIN|CTLN2	"calcium-binding mitochondrial carrier protein Aralar2|mitochondrial aspartate glutamate carrier 2|solute carrier family 25, member 13"	7	7q21.3	19598235,19401682,	2	2	0.013		0	0	0	1.7000000000000002	
ST7	autism	ENSG00000004866	7982	0	1	1	0	0	1	0	0	1	0	0	suppression of tumorigenicity 7	DKFZp762O2113|ETS7q|FAM4A|FAM4A1|HELG|RAY1|SEN4|TSG7	"family with sequence similarity 4, subfamily A, member 1|suppression of tumorigenicity 7 (breast)"	7	7q31.1-q31.3	19736351,19058789,	2	4	0.013		0	0	0	1.7000000000000002	
GABRG1	autism	ENSG00000163285	2565	0	1	1	0	0	1	0	0	1	0	1	"gamma-aminobutyric acid (GABA) A receptor, gamma 1"	DKFZp686H2042|MGC33838	"gamma-1 polypeptide|gamma-aminobutyric acid A receptor, gamma 1"	4	4p12	19736351,16080114,	2	5	0.013		1	0	0	1.7000000000000002	
TNF	autism	ENSG00000204490	7124	0	1	1	0	0	0	0	0	0	0	0	"tumor necrosis factor (TNF superfamily, member 2)"	DIF|TNF-alpha|TNFA|TNFSF2	"APC1 protein|OTTHUMP00000029281|OTTHUMP00000037669|TNF superfamily, member 2|TNF, macrophage-derived|TNF, monocyte-derived|cachectin|tumor necrosis factor alpha"	6	6p21.3	19167444,19058789,	2	2	0.013		0	0	0	1.7000000000000002	
PTS	autism	ENSG00000150787	5805	0	1	1	0	0	0	0	0	0	0	0	6-pyruvoyltetrahydropterin synthase	FLJ97081|PTPS	6-pyruvoyl tetrahydrobiopterin synthase|PTP synthase	11	11q22.3-q23.3	19674121,19360691,	2	2	0.013		0	0	0	1.7000000000000002	
APOE	autism	ENSG00000130203	348	0	1	1	0	0	0	0	0	0	0	1	apolipoprotein E	AD2|LDLCQ5|LPG|MGC1571	apolipoprotein E3	19	19q13.2	19859026,17621165,16027737,	3	3	0.02		0	0	1	1.6	
MED12	autism	ENSG00000184634	9968	0	1	1	0	0	0	0	1	0	0	1	mediator complex subunit 12	CAGH45|FGS1|HOPA|KIAA0192|OKS|OPA1|TNRC11|TRAP230	"OPA-containing protein|OTTHUMP00000023491|mediator of RNA polymerase II transcription, subunit 12 homolog|thyroid hormone receptor-associated protein, 230 kDa subunit|trinucleotide repeat containing 11 (THR-associated protein, 230 kDa subunit)"	X	Xq13	12860370,11840515,	2	4	0.011		1	0	0	1.5	
ARX	autism	ENSG00000004848	170302	0	1	1	0	1	0	0	1	1	0	1	aristaless related homeobox	ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	"OTTHUMP00000023088|aristaless-related homeobox, X-linked"	X	Xp21	17044103,15199382,	2	6	0.011		1	0	0	1.5	
ABCB1	autism	ENSG00000085563	5243	0	0	1	0	0	1	0	0	0	0	0	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"	ABC20|CD243|CLCS|GP170|MDR1|MGC163296|P-GP|PGY1	"ATP-binding cassette, subfamily B, member 1|P-glycoprotein 1|colchicin sensitivity|doxorubicin resistance|multidrug resistance protein 1"	7	7q21.1	19997080,	1	2	0.013		0	0	0	1.5	
AUTS1	autism		100188832	1	1	1	0	0	1	0	0	0	1	1	-	-	-	7	7q22	19598235,16941662,	2	6	0.0070		1	0	0	1.1	
HRAS	autism	ENSG00000174775	3265	0	1	0	0	0	0	0	0	0	0	1	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|K-RAS|N-RAS|RASH1	GTP- and GDP-binding peptide B|GTPase HRas|Ha-Ras1 proto-oncoprotein|OTTHUMP00000162769|OTTHUMP00000166053|OTTHUMP00000166055|Ras family small GTP binding protein H-Ras|c-has/bas p21 protein|c-ras-Ki-2 activated oncogene|p19 H-RasIDX protein|transformation gene: oncogene HAMSV|transforming protein p21	11	11p15.5		0	2			0	1	0	1.0	
PTGS2	autism	ENSG00000073756	5743	0	1	1	0	0	0	0	0	0	0	0	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	COX-2|COX2|GRIPGHS|PGG/HS|PGHS-2|PHS-2|hCox-2	OTTHUMP00000033524|cyclooxygenase 2b|prostaglandin G/H synthase and cyclooxygenase|prostaglandin-endoperoxide synthase 2	1	1q25.2-q25.3	18579107,	1	2	0.0070		0	0	0	0.9000000000000001	
PFTK1	autism	ENSG00000058091	5218	0	0	1	0	0	0	0	0	0	0	0	PFTAIRE protein kinase 1	KIAA0834|PFTAIRE1	OTTHUMP00000068098	7	7q21-q22	19058789,	1	1	0.0070		0	0	0	0.9000000000000001	
CYP2D6	autism	ENSG00000100197	1565	0	0	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 2, subfamily D, polypeptide 6"	CPD6|CYP2D|CYP2D@|CYP2DL1|MGC120389|MGC120390|P450-DB1|P450C2D|P450DB1	"cytochrome P450 2D6|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing), polypeptide 6|cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolizing)-like 1|debrisoquine 4-hydroxylase|flavoprotein-linked monooxygenase|microsomal monooxygenase|xenobiotic monooxygenase"	22	22q13.1	19997080,	1	1	0.0070		0	0	0	0.9000000000000001	
CCDC148	autism	ENSG00000153237	130940	0	1	1	0	0	0	0	0	0	0	0	coiled-coil domain containing 148	MGC125588|MGC125590	-	2	2q24.1	19401682,	1	2	0.0070		0	0	0	0.9000000000000001	
HOXD12	autism	ENSG00000170178	3238	0	1	1	0	0	0	0	0	0	0	0	homeobox D12	HOX4H	"Hox-4.7, mouse, homolog of|homeo box D12|homeobox protein Hox-D12"	2	2q31-q32|2q31.1	19540081,	1	2	0.0070		0	0	0	0.9000000000000001	
HOXD13	autism	ENSG00000128714	3239	0	1	1	0	0	0	0	0	0	0	0	homeobox D13	BDE|BDSD|HOX4I|SPD	homeo box 4I|homeo box D13	2	2q31.1	19540081,	1	2	0.0070		0	0	0	0.9000000000000001	
HOXD11	autism	ENSG00000128713	3237	0	1	1	0	0	0	0	0	0	0	0	homeobox D11	HOX4|HOX4F	"Hox-4.6, mouse, homolog of|homeo box 4F|homeo box D11|homeobox protein Hox-D11"	2	2q31.1	19540081,	1	2	0.0070		0	0	0	0.9000000000000001	
HTR1A	autism	ENSG00000178394	3350	0	1	1	0	1	0	0	0	0	0	1	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A|5HT1a|ADRB2RL1|ADRBRL1	5-HT1a receptor|G protein coupled receptor|guanine nucleotide-binding regulatory protein-coupled receptor	5	5q11.2-q13	17203304,	1	4	0.0070		1	0	0	0.9000000000000001	
CYP7A1	autism	ENSG00000167910	1581	0	0	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 7, subfamily A, polypeptide 1"	CP7A|CYP7|MGC126826|MGC138389	"cholesterol 7 alpha-monooxygenase|cholesterol 7-alpha-hydroxylase|cytochrome P450, subfamily VIIA (cholesterol 7 alpha-monooxygenase), polypeptide 1"	8	8q11-q12	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
RPL10	autism	ENSG00000147403	6134	0	1	1	0	0	0	1	1	1	0	0	ribosomal protein L10	DKFZp686J1851|DXS648|DXS648E|FLJ23544|FLJ27072|NOV|QM	60S ribosomal protein L10|OTTHUMP00000063212|QM protein|Wilms tumor-related protein|Wilms' tumor suppressor|laminin receptor homolog|tumor suppressor QM	X	Xq28	19166581,	1	5	0.0070		0	0	0	0.9000000000000001	
HTR1D	autism	ENSG00000179546	3352	0	1	1	0	0	0	0	0	0	0	1	5-hydroxytryptamine (serotonin) receptor 1D	5-HT1D|HT1DA|HTR1DA|HTRL|RDC4	OTTHUMP00000003270	1	1p36.3-p34.3	17203304,	1	3	0.0070		1	0	0	0.9000000000000001	
HTR1E	autism	ENSG00000168830	3354	0	1	1	0	0	0	0	0	0	0	0	5-hydroxytryptamine (serotonin) receptor 1E	5-HT1E	OTTHUMP00000016823	6	6q14-q15	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
PIK3CG	autism	ENSG00000105851	5294	0	0	1	0	0	0	0	0	0	0	0	"phosphoinositide-3-kinase, catalytic, gamma polypeptide"	PI3CG|PI3K|PI3Kgamma|PIK3	"1-phosphatidylinositol 3-kinase|PI3-kinase|PTDINS-3-kinase|p110-gamma|phosphatidylinositol 3 kinase gamma, p110 gamma|phosphatidylinositol 3-kinase catalytic 110-kD gamma|phosphatidylinositol 3-kinase, catalytic, gamma polypeptide|phosphoinositide-3-kinase gamma catalytic subunit"	7	7q22.3	19058789,	1	1	0.0070		0	0	0	0.9000000000000001	
CYP1A1	autism	ENSG00000140465	1543	0	0	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 1, subfamily A, polypeptide 1"	AHH|AHRR|CP11|CYP1|P1-450|P450-C|P450DX	"aryl hydrocarbon hydroxylase|cytochrome P1-450, dioxin-inducible|cytochrome P450 1A1|cytochrome P450, subfamily I (aromatic compound-inducible), polypeptide 1|flavoprotein-linked monooxygenase|xenobiotic monooxygenase"	15	15q24.1	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
PCBD1	autism	ENSG00000166228	5092	0	0	1	0	0	0	0	0	0	0	0	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha	DCOH|PCBD|PCD|PHS	6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)|OTTHUMP00000019765|Pterin-4a-carbinolamine dehydratase (dimerization cofactor of hepatic nuclear factor 1-alpha)|dimerizing cofactor for HNF1|phenylalanine hydroxylase-stimulating protein	10	10q22	19674121,	1	1	0.0070		0	0	0	0.9000000000000001	
SCN2A	autism	ENSG00000136531	6326	0	1	1	0	0	0	1	1	0	0	0	"sodium channel, voltage-gated, type II, alpha subunit"	BFIC3|HBA|HBSCI|HBSCII|NAC2|Na(v)1.2|Nav1.2|SCN2A1|SCN2A2	"OTTHUMP00000041049|OTTHUMP00000041050|sodium channel protein, brain type 2 alpha subunit|sodium channel, voltage-gated, type II, alpha|sodium channel, voltage-gated, type II, alpha 1 polypeptide|sodium channel, voltage-gated, type II, alpha 2 polypeptide|voltage-gated sodium channel subtype II"	2	2q23-q24	19401682,	1	4	0.0070		0	0	0	0.9000000000000001	
GRIN2A	autism	ENSG00000183454	2903	0	1	1	0	0	0	0	0	0	0	0	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	NMDAR2A|NR2A	"N-methyl-D-aspartate receptor channel, subunit epsilon-1|N-methyl-D-aspartate receptor subunit 2A|NMDA receptor subtype 2A|OTTHUMP00000160135|OTTHUMP00000174531"	16	16p13.2	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
MARK1	autism	ENSG00000116141	4139	0	1	1	0	0	0	0	0	0	0	0	MAP/microtubule affinity-regulating kinase 1	KIAA1477|MARK|MGC126512|MGC126513	OTTHUMP00000035458	1	1q41	18492799,	1	2	0.0070		0	0	0	0.9000000000000001	
RETN	autism	ENSG00000104918	56729	0	1	1	0	0	0	0	0	0	0	0	resistin	ADSF|FIZZ3|MGC126603|MGC126609|RETN1|RSTN|XCP1	C/EBP-epsilon regulated myeloid-specific secreted cysteine-rich protein precursor 1|found in inflammatory zone 3	19	19p13.2	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
RYR3	autism		6263	0	1	1	0	0	0	0	0	0	0	0	ryanodine receptor 3	-	-	15	15q14-q15	18588595,	1	2	0.0070		0	0	0	0.9000000000000001	
MAPK3	autism	ENSG00000102882	5595	0	1	1	0	0	0	0	0	0	0	0	mitogen-activated protein kinase 3	ERK1|HS44KDAP|HUMKER1A|MGC20180|P44ERK1|P44MAPK|PRKM3	OTTHUMP00000174538|OTTHUMP00000174540|extracellular signal-regulated kinase 1|extracellular signal-related kinase 1	16	16p11.2	19242545,	1	2	0.0070		0	0	0	0.9000000000000001	
TFPI	autism	ENSG00000003436	7035	0	1	1	0	0	0	0	0	0	0	0	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	EPI|LACI|TFI|TFPI1	OTTHUMP00000163472|anti-convertin|extrinsic pathway inhibitor|lipoprotein-associated coagulation inhibitor|tissue factor pathway inhibitor	2	2q32	19401682,	1	2	0.0070		0	0	0	0.9000000000000001	
HSD11B1	autism	ENSG00000117594	3290	0	0	1	0	0	0	0	0	0	0	0	hydroxysteroid (11-beta) dehydrogenase 1	11-DH|11-beta-HSD1|HDL|HSD11|HSD11B|HSD11L|MGC13539|SDR26C1	"11-beta-hydroxysteroid dehydrogenase 1|OTTHUMP00000034649|OTTHUMP00000034650|corticosteroid 11-beta-dehydrogenase isozyme 1|short chain dehydrogenase/reductase family 26C, member 1"	1	1q32-q41	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
ABAT	autism	ENSG00000183044	18	0	1	1	0	0	0	0	0	0	0	0	4-aminobutyrate aminotransferase	FLJ17813|GABA-AT|GABAT|NPD009	4-aminobutyrate transaminase|GABA aminotransferase|GABA transferase|gamma-amino-N-butyrate transaminase	16	16p13.2	19598235,	1	2	0.0070		0	0	0	0.9000000000000001	
PRODH	autism	ENSG00000100033	5625	0	1	1	0	0	0	0	0	0	0	0	proline dehydrogenase (oxidase) 1	FLJ33744|HSPOX2|MGC148078|MGC148079|PIG6|POX|PRODH1|PRODH2|SCZD4|TP53I6	"OTTHUMP00000196495|proline dehydrogenase 1|proline oxidase 2|proline oxidase, mitochondrial|tumor protein p53 inducible protein 6"	22	22q11.21	19736351,	1	2	0.0070		0	0	0	0.9000000000000001	
CYP1B1	autism	ENSG00000138061	1545	0	0	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 1, subfamily B, polypeptide 1"	CP1B|GLC3A|P4501B1	"aryl hydrocarbon hydroxylase|cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)|flavoprotein-linked monooxygenase|microsomal monooxygenase|xenobiotic monooxygenase"	2	2p21	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
ERBB4	autism	ENSG00000178568	2066	0	1	1	0	0	0	0	0	0	0	0	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	HER4|MGC138404|p180erbB4	avian erythroblastic leukemia viral (v-erb-b2) oncogene homolog 4|receptor tyrosine-protein kinase erbB-4|tyrosine kinase-type cell surface receptor HER4|v-erb-a erythroblastic leukemia viral oncogene homolog 4	2	2q33.3-q34	19736351,	1	2	0.0070		0	0	0	0.9000000000000001	
NTAN1	autism	ENSG00000157045	123803	0	0	1	0	0	0	0	0	0	0	0	N-terminal asparagine amidase	DKFZp666E058	N-terminal Asn amidase|N-terminal asparagine amidohydrolase	16	16p13.11	19786961,	1	1	0.0070		0	0	0	0.9000000000000001	
ATP6V0C	autism	ENSG00000185883	527	0	1	1	0	0	0	0	0	0	0	0	"ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c"	ATP6C|ATP6L|ATPL|VATL|Vma3	"ATPase, H+ transporting, lysosomal (vacuolar proton pump) 16kD|ATPase, H+ transporting, lysosomal, V0 subunit c|H(+)-transporting two-sector ATPase, 16 kDa subunit|V-ATPase subunit c|vacuolar ATP synthase 16 kDa proteolipid subunit|vacuolar H+ ATPase proton channel subunit|vacuolar proton pump, 16 kDa subunit"	16	16p13.3	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
HCRTR2	autism	ENSG00000137252	3062	0	1	1	0	0	0	0	0	0	0	0	hypocretin (orexin) receptor 2	OX2R	OTTHUMP00000017762|OTTHUMP00000039969|hypocretin receptor-2|orexin receptor 2	6	6p12	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
HCRTR1	autism	ENSG00000121764	3061	0	0	1	0	0	0	0	0	0	0	0	hypocretin (orexin) receptor 1	OX1R	OTTHUMP00000003951|hypocretin receptor 1|hypocretin receptor-1|orexin receptor 1|orexin receptor-1	1	1p33	19058789,	1	1	0.0070		0	0	0	0.9000000000000001	
NTF4	autism	ENSG00000167744	4909	0	1	1	0	0	0	0	0	0	0	0	neurotrophin 4	NT-4/5|NT4|NT5|NTF5	neurotrophic factor 4|neurotrophic factor 5|neurotrophin 5|neurotrophin 5 (neurotrophin 4/5)	19	19q13.3	19598235,	1	2	0.0070		0	0	0	0.9000000000000001	
TAOK2	autism	ENSG00000149930	9344	0	1	1	0	0	0	0	0	0	0	0	TAO kinase 2	KIAA0881|MAP3K17|PSK|PSK1|TAO1|TAO2	prostate derived STE20-like kinase PSK|thousand and one amino acid protein kinase	16	16p11.2	19242545,	1	2	0.0070		0	0	0	0.9000000000000001	
NTF3	autism	ENSG00000185652	4908	0	1	1	0	0	0	0	0	0	0	0	neurotrophin 3	HDNF|MGC129711|NGF-2|NGF2|NT3	-	12	12p13	19598235,	1	2	0.0070		0	0	0	0.9000000000000001	
PCNT	autism	ENSG00000160299	5116	0	0	1	0	0	0	0	0	0	0	0	pericentrin	KEN|MOPD2|PCN|PCNT2|PCNTB|PCTN2|SCKL4	kendrin|pericentrin B|pericentrin-2|pericentrin-380	21	21q22.3	19251251,	1	1	0.0070		0	0	0	0.9000000000000001	
IL1RN	autism	ENSG00000136689	3557	0	1	1	0	0	0	0	0	0	0	0	interleukin 1 receptor antagonist	DIRA|ICIL-1RA|IL-1ra3|IL1F3|IL1RA|IRAP|MGC10430|MVCD4	IL1RN (IL1F3)|intracellular IL-1 receptor antagonist type II|intracellular interleukin-1 receptor antagonist (icIL-1ra)|type II interleukin-1 receptor antagonist	2	2q14.2	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
HGF	autism	ENSG00000019991	3082	0	1	1	0	0	0	0	0	0	0	0	hepatocyte growth factor (hepapoietin A; scatter factor)	F-TCF|HGFB|HPTA|SF	fibroblast-derived tumor cytotoxic factor|hepatocyte growth factor|hepatopoietin A|lung fibroblast-derived mitogen|scatter factor	7	7q21.1	17626784,	1	2	0.0070		0	0	0	0.9000000000000001	
PCDH19	autism	ENSG00000165194	57526	0	1	1	0	0	0	0	0	0	0	0	protocadherin 19	DKFZp686P1843|EFMR|KIAA1313	"epilepsy, female restricted, with mental retardation (Juberg-Hellman syndrome)"	X	Xq13.3	19752159,	1	2	0.0070		0	0	0	0.9000000000000001	
NPY5R	autism	ENSG00000164129	4889	0	1	1	0	0	0	0	0	0	0	0	neuropeptide Y receptor Y5	NPYR5	-	4	4q31-q32	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
CYP17A1	autism	ENSG00000148795	1586	0	0	1	0	0	0	0	0	0	0	0	"cytochrome P450, family 17, subfamily A, polypeptide 1"	CPT7|CYP17|P450C17|S17AH	"OTTHUMP00000020382|cytochrome P450, family 17|cytochrome P450, subfamily XVII (steroid 17-alpha-hydroxylase), adrenal hyperplasia|cytochrome p450 XVIIA1|steroid 17-alpha-hydroxylase/17,20 lyase|steroid 17-alpha-monooxygenase"	10	10q24.3	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
NLGN4Y	autism	ENSG00000165246	22829	0	1	1	0	0	0	1	1	0	0	0	"neuroligin 4, Y-linked"	KIAA0951	"OTTHUMP00000034787|OTTHUMP00000034789|neuroligin 4, Y linked"	Y	Yq11.221	19605777,	1	4	0.0070		0	0	0	0.9000000000000001	
LASP1	autism	ENSG00000002834	3927	0	1	1	0	0	0	0	0	0	0	1	LIM and SH3 protein 1	Lasp-1|MLN50	-	17	17q11-q21.3	17376794,	1	3	0.0070		1	0	0	0.9000000000000001	
AVPR1B	autism	ENSG00000198049	553	0	0	1	0	0	0	0	0	0	0	0	arginine vasopressin receptor 1B	AVPR3	OTTHUMP00000034344|antidiuretic hormone receptor 1B|arginine vasopressin receptor 3|pituitary vasopressin receptor 3|vasopressin V1B receptor	1	1q32	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
ZNF385B	autism	ENSG00000144331	151126	0	1	1	0	0	0	0	0	0	0	0	zinc finger protein 385B	FLJ25270|ZFN533|ZNF533	zinc finger protein 533	2	2q31.2-q31.3	19401682,	1	2	0.0070		0	0	0	0.9000000000000001	
TRPV1	autism		7442	0	0	1	0	0	0	0	0	0	0	0	"transient receptor potential cation channel, subfamily V, member 1"	DKFZp434K0220|VR1	capsaicin receptor|transient receptor potential vanilloid 1a|transient receptor potential vanilloid 1b|vanilloid receptor subtype 1	17	17p13.3	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
GRIP1	autism		23426	0	1	1	0	0	0	0	0	0	0	0	glutamate receptor interacting protein 1	GRIP	-	12	12q14.3	19736351,	1	2	0.0070		0	0	0	0.9000000000000001	
DPP10	autism	ENSG00000175497	57628	0	1	1	0	0	1	0	0	0	0	0	dipeptidyl-peptidase 10	DPL2|DPPY|DPRP3	dipeptidyl peptidase 10|dipeptidyl peptidase IV-related protein 3|dipeptidyl peptidase X|dipeptidyl peptidase like protein 2	2	2q14.1	19736351,	1	3	0.0070		0	0	0	0.9000000000000001	
ATP10A	autism	ENSG00000206190	57194	0	1	1	0	0	1	0	0	1	0	0	"ATPase, class V, type 10A"	ATP10C|ATPVA|ATPVC|KIAA0566	"ATPase type IV, phospholipid transporting (P-type)|ATPase, Class V, type 10C|aminophospholipid translocase VA|phospholipid-transporting ATPase VA"	15	15q11.2	18186074,	1	4	0.0070		0	0	0	0.9000000000000001	
TYR	autism	ENSG00000077498	7299	0	1	1	0	0	0	0	0	0	0	0	tyrosinase (oculocutaneous albinism IA)	OCA1A|OCAIA|SHEP3	tyrosinase	11	11q14-q21	19360691,	1	2	0.0070		0	0	0	0.9000000000000001	
MAPT	autism	ENSG00000186868	4137	0	1	1	0	0	0	0	0	0	0	0	microtubule-associated protein tau	DDPAC|FLJ31424|FTDP-17|MAPTL|MGC138549|MSTD|MTBT1|MTBT2|PPND|TAU	"G protein beta1/gamma2 subunit-interacting factor 1|microtubule-associated protein tau, isoform 4"	17	17q21.1	19736351,	1	2	0.0070		0	0	0	0.9000000000000001	
TMEM100	autism	ENSG00000166292	55273	0	1	1	0	0	0	0	0	0	0	0	transmembrane protein 100	FLJ10970|FLJ37856	-	17	17q22	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
HTR5A	autism	ENSG00000157219	3361	0	1	1	0	0	0	1	0	0	0	1	5-hydroxytryptamine (serotonin) receptor 5A	5-HT5A|MGC138226	5-hydroxytryptamine receptor 5A	7	7q36.1	17203304,	1	4	0.0070		1	0	0	0.9000000000000001	
FMNL2	autism		114793	0	1	1	0	0	0	0	0	0	0	0	formin-like 2	FHOD2|FLJ37546	formin homology 2 domain containing 2	2	2q23.3	19401682,	1	2	0.0070		0	0	0	0.9000000000000001	
STS	autism	ENSG00000101846	412	0	1	1	0	0	0	0	0	0	0	0	"steroid sulfatase (microsomal), isozyme S"	ARSC|ARSC1|ASC|ES|SSDD|XLI	OTTHUMP00000022868|arylsulfatase C|estrone sulfatase|steryl-sulfatase|steryl-sulfate sulfohydrolase	X	Xp22.32	19598235,	1	2	0.0070		0	0	0	0.9000000000000001	
FOSB	autism	ENSG00000125740	2354	0	1	1	0	0	0	0	0	0	0	0	FBJ murine osteosarcoma viral oncogene homolog B	AP-1|DKFZp686C0818|G0S3|GOS3|GOSB|MGC42291	activator protein 1|oncogene FOS-B	19	19q13.32	18207134,	1	2	0.0070		0	0	0	0.9000000000000001	
MTRR	autism	ENSG00000124275	4552	0	0	1	0	0	0	0	0	0	0	0	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	MGC129643|MSR|cblE	[methionine synthase]-cobalamin methyltransferase (cob(II)alamin reducing)|methionine synthase reductase	5	5p15.3-p15.2	19440165,	1	1	0.0070		0	0	0	0.9000000000000001	
MFSD6	autism	ENSG00000151690	54842	0	1	1	0	0	0	0	0	0	0	0	major facilitator superfamily domain containing 6	FLJ20160	OTTHUMP00000163510	2	2q32.2	19401682,	1	2	0.0070		0	0	0	0.9000000000000001	
HSD17B2	autism	ENSG00000086696	3294	0	0	1	0	0	0	0	0	0	0	0	hydroxysteroid (17-beta) dehydrogenase 2	EDH17B2|HSD17|SDR9C2	"short chain dehydrogenase/reductase family 9C, member 2"	16	16q24.1-q24.2	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
OPRK1	autism	ENSG00000082556	4986	0	1	1	0	0	0	0	0	0	0	0	"opioid receptor, kappa 1"	KOR|OPRK	"Opiate receptor, kappa-1|kappa opioid receptor"	8	8q11.2	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
NPY2R	autism	ENSG00000185149	4887	0	1	1	0	0	0	0	0	0	0	0	neuropeptide Y receptor Y2	-	-	4	4q31	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
DHCR7	autism	ENSG00000172893	1717	0	1	1	0	0	0	0	0	0	0	0	7-dehydrocholesterol reductase	SLOS	delta-7-dehydrocholesterol reductase	11	11q13.2-q13.5	19598235,	1	2	0.0070		0	0	0	0.9000000000000001	
PER2	autism	ENSG00000132326	8864	0	1	1	0	0	0	0	0	0	0	0	period homolog 2 (Drosophila)	FASPS|KIAA0347	period 2|period circadian protein 2	2	2q37.3	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
HSD17B3	autism	ENSG00000130948	3293	0	0	1	0	0	0	0	0	0	0	0	hydroxysteroid (17-beta) dehydrogenase 3	EDH17B3|SDR12C2	"17-beta-HSD3|OTTHUMP00000021718|estradiol 17 beta-dehydrogenase 3|short chain dehydrogenase/reductase family 12C, member 2|testicular 17-beta-hydroxysteroid dehydrogenase"	9	9q22	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
HSD17B4	autism	ENSG00000133835	3295	0	0	1	0	0	0	0	0	0	0	0	hydroxysteroid (17-beta) dehydrogenase 4	DBP|MFE-2|SDR8C1	"17-beta-HSD IV|17-beta-hydroxysteroid dehydrogenase 4|17beta-estradiol dehydrogenase type IV|3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase|D-3-hydroxyacyl-CoA dehydratase|D-bifunctional protein, peroxisomal|beta-hydroxyacyl dehydrogenase|beta-keto-reductase|peroxisomal multifunctional protein 2|short chain dehydrogenase/reductase family 8C, member 1"	5	5q21	19598235,	1	1	0.0070		0	0	0	0.9000000000000001	
MC3R	autism	ENSG00000124089	4159	0	1	1	0	0	0	0	0	0	0	0	melanocortin 3 receptor	BMIQ9|MC3|MC3-R|OB20|OQTL	Obesity quantitative trait locus	20	20q13.2-q13.3	19058789,	1	2	0.0070		0	0	0	0.9000000000000001	
